name,L_mm,tap_mm,Egap_mm,S1_mm,S2_mm,S3_mm,S4_mm,S5_mm,S6_mm,S7_mm,S8_mm,via_diameter_mm,metal_layer,via_layer,notes
interdigital_9o_ro4350b_508um_v4_more_coupling_r1_base_repeat,6.1,2.143,0.527,0.3,0.45,0.48,0.49,0.49,0.48,0.45,0.3,0.5,cond,pcvia1,repeat current V4 through the batch loop
interdigital_9o_ro4350b_508um_v4_more_coupling_r1_tap170,6.1,1.7,0.527,0.3,0.45,0.48,0.49,0.49,0.48,0.45,0.3,0.5,cond,pcvia1,tap sweep for 6-8 GHz return loss and edge insertion
interdigital_9o_ro4350b_508um_v4_more_coupling_r1_tap190,6.1,1.9,0.527,0.3,0.45,0.48,0.49,0.49,0.48,0.45,0.3,0.5,cond,pcvia1,tap sweep for 6-8 GHz return loss and edge insertion
interdigital_9o_ro4350b_508um_v4_more_coupling_r1_tap230,6.1,2.3,0.527,0.3,0.45,0.48,0.49,0.49,0.48,0.45,0.3,0.5,cond,pcvia1,tap sweep for 6-8 GHz return loss and edge insertion
interdigital_9o_ro4350b_508um_v4_more_coupling_r1_tap255,6.1,2.55,0.527,0.3,0.45,0.48,0.49,0.49,0.48,0.45,0.3,0.5,cond,pcvia1,tap sweep for 6-8 GHz return loss and edge insertion
interdigital_9o_ro4350b_508um_v4_more_coupling_r1_end_gap_small,6.1,2.143,0.47,0.3,0.45,0.48,0.49,0.49,0.48,0.45,0.3,0.5,cond,pcvia1,smaller end gap to test edge coupling without changing minimum line space below process limit
interdigital_9o_ro4350b_508um_v4_more_coupling_r1_edge_gaps_plus,6.1,2.143,0.527,0.335,0.47,0.48,0.49,0.49,0.48,0.47,0.335,0.5,cond,pcvia1,larger S1/S8 and S2/S7 to test 5 GHz rejection recovery
interdigital_9o_ro4350b_508um_v4_more_coupling_r1_all_gaps_minus,6.1,2.143,0.527,0.28,0.43,0.465,0.475,0.475,0.465,0.43,0.28,0.5,cond,pcvia1,slightly stronger overall coupling to recover 6/8 GHz insertion
interdigital_9o_ro4350b_508um_v4_more_coupling_r1_tap190_edge_plus,6.1,1.9,0.527,0.33,0.465,0.48,0.49,0.49,0.48,0.465,0.33,0.5,cond,pcvia1,combine lower tap with more 5 GHz rejection from larger edge gaps
interdigital_9o_ro4350b_508um_v4_more_coupling_r1_tap230_all_minus,6.1,2.3,0.527,0.285,0.435,0.47,0.48,0.48,0.47,0.435,0.285,0.5,cond,pcvia1,combine upper tap with stronger coupling to improve passband edges
