candidate,cell,notes,source,status,s21_5g_db,s21_6g_db,s21_7g_db,s21_8g_db,s21_9g_db,passband_min_s21_db,passband_ripple_db,worst_s11_6_8_db,worst_s22_6_8_db
interdigital_9o_ro4350b_508um_v4_more_coupling_r1_base_repeat,interdigital_9o_ro4350b_508um_v4_more_coupling_r1_base_repeat_mm_coords,repeat current V4 through the batch loop,SIM\ADS\results\opt_round1\interdigital_9o_ro4350b_508um_v4_more_coupling_r1_base_repeat_mm_coords_rfpro.csv,TUNE,-37.28,-3.13,-2.61,-4.06,-37.99,-4.06,2.87,-3.93,-4.00
interdigital_9o_ro4350b_508um_v4_more_coupling_r1_tap170,interdigital_9o_ro4350b_508um_v4_more_coupling_r1_tap170_mm_coords,tap sweep for 6-8 GHz return loss and edge insertion,SIM\ADS\results\opt_round1\interdigital_9o_ro4350b_508um_v4_more_coupling_r1_tap170_mm_coords_rfpro.csv,TUNE,-39.10,-4.97,-2.76,-2.73,-41.87,-4.97,3.84,-2.35,-2.38
interdigital_9o_ro4350b_508um_v4_more_coupling_r1_tap190,interdigital_9o_ro4350b_508um_v4_more_coupling_r1_tap190_mm_coords,tap sweep for 6-8 GHz return loss and edge insertion,SIM\ADS\results\opt_round1\interdigital_9o_ro4350b_508um_v4_more_coupling_r1_tap190_mm_coords_rfpro.csv,TUNE,-35.34,-1.33,-2.88,-2.35,-38.48,-3.71,2.77,-3.31,-3.38
interdigital_9o_ro4350b_508um_v4_more_coupling_r1_tap230,interdigital_9o_ro4350b_508um_v4_more_coupling_r1_tap230_mm_coords,tap sweep for 6-8 GHz return loss and edge insertion,SIM\ADS\results\opt_round1\interdigital_9o_ro4350b_508um_v4_more_coupling_r1_tap230_mm_coords_rfpro.csv,TUNE,-37.41,-3.30,-2.40,-5.15,-38.44,-5.15,4.17,-3.34,-3.37
interdigital_9o_ro4350b_508um_v4_more_coupling_r1_tap255,interdigital_9o_ro4350b_508um_v4_more_coupling_r1_tap255_mm_coords,tap sweep for 6-8 GHz return loss and edge insertion,SIM\ADS\results\opt_round1\interdigital_9o_ro4350b_508um_v4_more_coupling_r1_tap255_mm_coords_rfpro.csv,TUNE,-34.12,-3.12,-2.67,-4.69,-36.86,-5.13,4.40,-2.52,-2.62
interdigital_9o_ro4350b_508um_v4_more_coupling_r1_end_gap_small,interdigital_9o_ro4350b_508um_v4_more_coupling_r1_end_gap_small_mm_coords,smaller end gap to test edge coupling without changing minimum line space below process limit,SIM\ADS\results\opt_round1\interdigital_9o_ro4350b_508um_v4_more_coupling_r1_end_gap_small_mm_coords_rfpro.csv,TUNE,-37.19,-2.46,-3.07,-5.76,-39.02,-5.76,4.91,-2.78,-3.31
interdigital_9o_ro4350b_508um_v4_more_coupling_r1_edge_gaps_plus,interdigital_9o_ro4350b_508um_v4_more_coupling_r1_edge_gaps_plus_mm_coords,larger S1/S8 and S2/S7 to test 5 GHz rejection recovery,SIM\ADS\results\opt_round1\interdigital_9o_ro4350b_508um_v4_more_coupling_r1_edge_gaps_plus_mm_coords_rfpro.csv,TUNE,-37.55,-3.17,-2.41,-4.98,-39.37,-4.98,3.86,-3.96,-3.64
interdigital_9o_ro4350b_508um_v4_more_coupling_r1_all_gaps_minus,interdigital_9o_ro4350b_508um_v4_more_coupling_r1_all_gaps_minus_mm_coords,slightly stronger overall coupling to recover 6/8 GHz insertion,SIM\ADS\results\opt_round1\interdigital_9o_ro4350b_508um_v4_more_coupling_r1_all_gaps_minus_mm_coords_rfpro.csv,TUNE,-35.27,-2.88,-3.18,-2.88,-37.12,-3.18,2.12,-3.94,-4.05
interdigital_9o_ro4350b_508um_v4_more_coupling_r1_tap190_edge_plus,interdigital_9o_ro4350b_508um_v4_more_coupling_r1_tap190_edge_plus_mm_coords,combine lower tap with more 5 GHz rejection from larger edge gaps,SIM\ADS\results\opt_round1\interdigital_9o_ro4350b_508um_v4_more_coupling_r1_tap190_edge_plus_mm_coords_rfpro.csv,TUNE,-40.19,-3.34,-2.25,-4.72,-41.09,-4.72,3.73,-3.77,-3.77
interdigital_9o_ro4350b_508um_v4_more_coupling_r1_tap230_all_minus,interdigital_9o_ro4350b_508um_v4_more_coupling_r1_tap230_all_minus_mm_coords,combine upper tap with stronger coupling to improve passband edges,SIM\ADS\results\opt_round1\interdigital_9o_ro4350b_508um_v4_more_coupling_r1_tap230_all_minus_mm_coords_rfpro.csv,TUNE,-37.13,-2.43,-2.99,-4.57,-37.95,-4.57,3.71,-4.23,-4.06
