frequency_hz,s11_mag,s11_db,s11_phase_deg,s21_mag,s21_db,s21_phase_deg,s12_mag,s12_db,s12_phase_deg,s22_mag,s22_db,s22_phase_deg
4000000000.0,0.9929309093359343,-0.06161939541094439,1.2474871551515958,0.006934933441628189,-43.17915405467568,-0.3579942574668676,0.006934933441628189,-43.17915405467568,-0.3579942574668676,0.9929735340500108,-0.061246534004030184,1.247519233140956
4500000000.0,0.9877835243342414,-0.1067644379659734,0.904780261414263,0.017245959003094714,-35.266253012685084,-0.723618117020674,0.017245959003094714,-35.266253012685084,-0.723618117020674,0.9877464555878757,-0.10709040116902743,0.9051266013604351
5000000000.0,0.9656735171388584,-0.30339357253992744,0.4191116150024573,0.09057585249313899,-20.859751394541142,-1.2877809056669434,0.09057585249313899,-20.859751394541142,-1.2877809056669434,0.9634028675673411,-0.3238413068543799,0.40648998200625575
5250000000.0,0.5448007553287975,-5.275245979508165,-0.13709843489382262,0.5608796193601663,-5.022606812583001,-2.522014907036754,0.5608796193601663,-5.022606812583001,-2.522014907036754,0.4582440067242202,-6.778064127472935,-0.32104781904429674
5500000000.0,0.8789514142099338,-1.120702615104792,0.1517164650764465,0.3459314649947676,-9.220198678642364,-4.477372372739694,0.3459314649947676,-9.220198678642364,-4.477372372739694,0.8778891397941584,-1.1312064703854348,0.2657993989007197
5750000000.0,0.8106474090621876,-1.8233600204722242,-0.4763688206309336,0.4307837543163253,-7.314813662904033,-5.189637882082063,0.4307837543163253,-7.314813662904033,-5.189637882082063,0.8229704173378448,-1.6923155149002223,-0.30868863338495334
6000000000.0,0.19695634809498472,-14.112600337899783,-1.8089049384775167,0.7976420226927903,-1.9638394775077306,-6.471994543570036,0.7976420226927903,-1.9638394775077306,-6.471994543570036,0.30835299214566225,-10.219036659620055,-0.8742132452225636
6250000000.0,0.45659008814212565,-6.809470411970585,0.15453707873750402,0.7602888951807527,-2.3804270558953986,-7.891274411914036,0.7602888951807527,-2.3804270558953986,-7.891274411914036,0.46766018476862603,-6.601392061797251,-0.28808726018025105
6500000000.0,0.29941670633433437,-10.47447942612543,-0.6991093412107601,0.8205452266178902,-1.7179495322111191,-9.010419741898394,0.8205452266178902,-1.7179495322111191,-9.010419741898394,0.27931761609978945,-11.078033464019885,-1.2060024164687393
6750000000.0,0.30653217838537666,-10.270478568968823,0.4749404289972357,0.816119356820483,-1.7649264274266854,-10.292389651177611,0.816119356820483,-1.7649264274266854,-10.292389651177611,0.28521691557494894,-10.896494420512365,0.5493728868603779
7000000000.0,0.5270733619252748,-5.562578645960659,-0.25671002851284186,0.7193153214078857,-2.861613782666768,-11.368982187769927,0.7193153214078857,-2.861613782666768,-11.368982187769927,0.5076063106626738,-5.889459746166832,-0.4977838254429681
7500000000.0,0.33047168036811325,-9.617315025341359,-0.7447430865462605,0.7843001366725522,-2.110354186190383,-13.732791208859386,0.7843001366725522,-2.110354186190383,-13.732791208859386,0.22210081973103765,-13.068996771037787,1.2344983803671423
7750000000.0,0.5701598307795183,-4.880067662148685,-1.3327196855893062,0.6376187492646173,-3.9087784187368984,-15.017621271295443,0.6376187492646173,-3.9087784187368984,-15.017621271295443,0.5354520514834136,-5.425588263533344,-0.5682307196445353
8000000000.0,0.6151890026914434,-4.219828734389689,-2.324912125446838,0.5650544787963614,-4.958193567503564,-16.245720680338266,0.5650544787963614,-4.958193567503564,-16.245720680338266,0.5978683308344123,-4.467889012149721,-1.8605793475013805
8250000000.0,0.2220414068897834,-13.071320591446497,-2.4107859781704364,0.5874385787889388,-4.620750710061356,-18.187192727473867,0.5874385787889388,-4.620750710061356,-18.187192727473867,0.3087353213742467,-10.208273629962687,-2.3156129886034496
8375000000.0,0.7027345151880905,-3.0641743065828333,-2.6450015075669313,0.2753934701958205,-11.200927228680165,-19.43872566110283,0.2753934701958205,-11.200927228680165,-19.43872566110283,0.709898013382689,-2.9760807835499756,-2.6211100060994452
8500000000.0,0.8419892662510636,-1.4938688977420778,-3.2371456345056724,0.10607063513104992,-19.488096613334314,-20.150686098866355,0.10607063513104992,-19.488096613334314,-20.150686098866355,0.837668603508159,-1.5385552391688686,-3.220231106573452
9000000000.0,0.9292932025436632,-0.6369447910278105,-4.522742468397633,0.0054067617093850676,-45.34125541070547,-21.594657221208486,0.0054067617093850676,-45.34125541070547,-21.594657221208486,0.9285992379341702,-0.6434335415709316,-4.5497542012811625
9500000000.0,0.9519820785253431,-0.4274245464031944,-5.2505100603718,0.0009040344949850389,-60.87629995916885,-23.05974800486281,0.0009040344949850389,-60.87629995916885,-23.05974800486281,0.9527887887134977,-0.4200672351342343,-5.27526434393305
10000000000.0,0.9613480026780843,-0.34238743321924175,-5.758456262705485,0.0006697233598265793,-63.48209105377302,-24.19644087535893,0.0006697233598265793,-63.48209105377302,-24.19644087535893,0.9622591690977148,-0.33415883886707753,-5.773382521525162
